emoji,en,clean_en,zh-TW
👍🏿,:thumbs_up_dark_skin_tone:,thumbs up dark skin tone,豎起大拇指 深色膚色
👍🏻,:thumbs_up_light_skin_tone:,thumbs up light skin tone,豎起大拇指 淺膚色
👍🏾,:thumbs_up_medium-dark_skin_tone:,thumbs up medium-dark skin tone,豎起大拇指 中深膚色
👍🏼,:thumbs_up_medium-light_skin_tone:,thumbs up medium-light skin tone,豎起大拇指 中淺膚色
🎫,:ticket:,ticket,票
🐅,:tiger:,tiger,老虎
🐯,:tiger_face:,tiger face,虎臉
⏲️,:timer_clock:,timer clock,定時器時鐘
😫,:tired_face:,tired face,疲倦的臉
🚽,:toilet:,toilet,洗手間
🍅,:tomato:,tomato,番茄
👅,:tongue:,tongue,舌頭
🦷,:tooth:,tooth,齒
🪥,:toothbrush:,toothbrush,牙刷
🎩,:top_hat:,top hat,禮帽
🌪,:tornado:,tornado,龍捲風
™,:trade_mark:,trade mark,商標
🚩,:triangular_flag:,triangular flag,三角旗
🏆,:trophy:,trophy,杯
🍹,:tropical_drink:,tropical drink,熱帶飲料
🐠,:tropical_fish:,tropical fish,熱帶魚
🌷,:tulip:,tulip,鬱金香
🥃,:tumbler_glass:,tumbler glass,不倒翁玻璃
🐢,:turtle:,turtle,龜
🕛,:twelve_o’clock:,twelve o’clock,十二點
💕,:two_hearts:,two hearts,兩顆心
☂️,:umbrella:,umbrella,傘
⛱,:umbrella_on_ground:,umbrella on ground,雨傘在地上
☔,:umbrella_with_rain_drops:,umbrella with rain drops,帶雨滴的雨傘
😒,:unamused_face:,unamused face,不開心的臉
🦄,:unicorn:,unicorn,獨角獸
🔓,:unlocked:,unlocked,解鎖
↖,:up-left_arrow:,up-left arrow,左上箭頭
↗️,:up-right_arrow:,up-right arrow,右上箭頭
↗,:up-right_arrow:,up-right arrow,右上箭頭
⬆️,:up_arrow:,up arrow,向上箭頭
⬆,:up_arrow:,up arrow,向上箭頭
🙃,:upside-down_face:,upside-down face,顛倒的臉
🔼,:upwards_button:,upwards button,向上按鈕
🚦,:vertical_traffic_light:,vertical traffic light,垂直交通燈
✌️,:victory_hand:,victory hand,勝利之手
✌,:victory_hand:,victory hand,勝利之手
✌🏻,:victory_hand_light_skin_tone:,victory hand light skin tone,勝利手淺膚色
✌🏾,:victory_hand_medium-dark_skin_tone:,victory hand medium-dark skin tone,勝利之手中深膚色
✌🏼,:victory_hand_medium-light_skin_tone:,victory hand medium-light skin tone,勝利之手中淺膚色
✌🏽,:victory_hand_medium_skin_tone:,victory hand medium skin tone,勝利之手中等膚色
📹,:video_camera:,video camera,攝像機
🎮,:video_game:,video game,電子遊戲
🎻,:violin:,violin,小提琴
🌋,:volcano:,volcano,火山
🏐,:volleyball:,volleyball,排球
🖖🏽,:vulcan_salute_medium_skin_tone:,vulcan salute medium skin tone,vulcan salute 中等膚色
🧇,:waffle:,waffle,胡扯
🌘,:waning_crescent_moon:,waning crescent moon,殘月
🌖,:waning_gibbous_moon:,waning gibbous moon,殘月
⚠️,:warning:,warning,警告
⚠,:warning:,warning,警告
🗑,:wastebasket:,wastebasket,廢紙簍
⌚,:watch:,watch,手錶
🚾,:water_closet:,water closet,洗手間
🔫,:water_pistol:,water pistol,水槍
🌊,:water_wave:,water wave,水波
👋,:waving_hand:,waving hand,揮手
👋🏻,:waving_hand_light_skin_tone:,waving hand light skin tone,揮手 較淺膚色
👋🏾,:waving_hand_medium-dark_skin_tone:,waving hand medium-dark skin tone,揮手 中深膚色
👋🏼,:waving_hand_medium-light_skin_tone:,waving hand medium-light skin tone,揮手 中淺膚色
〰️,:wavy_dash:,wavy dash,波浪破折號
〰,:wavy_dash:,wavy dash,波浪破折號
🙀,:weary_cat:,weary cat,疲倦的貓
😩,:weary_face:,weary face,疲憊的臉
💒,:wedding:,wedding,婚禮
🐋,:whale:,whale,鯨
⚪,:white_circle:,white circle,白色圓圈
❕,:white_exclamation_mark:,white exclamation mark,白色感嘆號
💮,:white_flower:,white flower,白色的花
🤍,:white_heart:,white heart,白心
◽,:white_medium-small_square:,white medium-small square,白色中小方
◻️,:white_medium_square:,white medium square,白色中方形
▫️,:white_small_square:,white small square,白色小方塊
▫,:white_small_square:,white small square,白色小方塊
🥀,:wilted_flower:,wilted flower,枯萎的花
🎐,:wind_chime:,wind chime,風鈴
🌬️,:wind_face:,wind face,風臉
🌬,:wind_face:,wind face,風臉
🪟,:window:,window,窗戶
🍷,:wine_glass:,wine glass,紅酒杯
😉,:winking_face:,winking face,眨眼的臉
😜,:winking_face_with_tongue:,winking face with tongue,用舌頭眨眼
🐺,:wolf:,wolf,狼
👩,:woman:,woman,女士
👫,:woman_and_man_holding_hands:,woman and man holding hands,手牽著手的女人和男人
👫🏻,:woman_and_man_holding_hands_light_skin_tone:,woman and man holding hands light skin tone,手拉手的女人和男人淺膚色
👩🏻‍🤝‍👨🏾,:woman_and_man_holding_hands_light_skin_tone_medium-dark_skin_tone:,woman and man holding hands light skin tone medium-dark skin tone,手拉手的女人和男人淺膚色中等深膚色
👩🏻‍🎨,:woman_artist_light_skin_tone:,woman artist light skin tone,女藝術家淺膚色
🚴‍♀️,:woman_biking:,woman biking,女人騎自行車
🚴🏻‍♀️,:woman_biking_light_skin_tone:,woman biking light skin tone,騎自行車的女人淺膚色
🙇‍♀️,:woman_bowing:,woman bowing,女人鞠躬
🙇‍♀,:woman_bowing:,woman bowing,女人鞠躬
🙇🏻‍♀️,:woman_bowing_light_skin_tone:,woman bowing light skin tone,鞠躬的女人淺膚色
🙇🏽‍♀️,:woman_bowing_medium_skin_tone:,woman bowing medium skin tone,鞠躬的女人中等膚色
🤸🏻‍♀️,:woman_cartwheeling_light_skin_tone:,woman cartwheeling light skin tone,女人側手翻較淺膚色
🧗🏻‍♀️,:woman_climbing_light_skin_tone:,woman climbing light skin tone,攀爬的女人淺膚色
👩‍🍳,:woman_cook:,woman cook,女廚師
👩🏻‍🍳,:woman_cook_light_skin_tone:,woman cook light skin tone,女廚師淺膚色
💃,:woman_dancing:,woman dancing,女人跳舞
💃🏻,:woman_dancing_light_skin_tone:,woman dancing light skin tone,跳舞的女人淺膚色
💃🏼,:woman_dancing_medium-light_skin_tone:,woman dancing medium-light skin tone,跳舞的女人中淺膚色
💃🏽,:woman_dancing_medium_skin_tone:,woman dancing medium skin tone,跳舞的女人中等膚色
👩🏿,:woman_dark_skin_tone:,woman dark skin tone,女人深色膚色
👩🏿‍🦱,:woman_dark_skin_tone_curly_hair:,woman dark skin tone curly hair,女人深色膚色捲髮
👩🏿‍🦰,:woman_dark_skin_tone_red_hair:,woman dark skin tone red hair,女人深色膚色紅頭髮
🧝🏻‍♀️,:woman_elf_light_skin_tone:,woman elf light skin tone,女精靈淺膚色
🤦‍♀️,:woman_facepalming:,woman facepalming,女人捂臉
🤦🏻‍♀️,:woman_facepalming_light_skin_tone:,woman facepalming light skin tone,女人捂臉淺膚色
🤦🏻‍♀,:woman_facepalming_light_skin_tone:,woman facepalming light skin tone,女人捂臉淺膚色
🤦🏼‍♀️,:woman_facepalming_medium-light_skin_tone:,woman facepalming medium-light skin tone,女人捂臉 中淺膚色
🧚‍♀️,:woman_fairy:,woman fairy,女仙女
🧚‍♀,:woman_fairy:,woman fairy,女仙女
🧚🏻‍♀️,:woman_fairy_light_skin_tone:,woman fairy light skin tone,女仙女淺膚色
🧚🏾‍♀️,:woman_fairy_medium-dark_skin_tone:,woman fairy medium-dark skin tone,女仙子中深膚色
🙍‍♀️,:woman_frowning:,woman frowning,女人皺著眉頭
🙍🏻‍♀️,:woman_frowning_light_skin_tone:,woman frowning light skin tone,皺眉的女人淺膚色
🙅‍♀️,:woman_gesturing_NO:,woman gesturing NO,女人打手勢不
🙅🏻‍♀️,:woman_gesturing_NO_light_skin_tone:,woman gesturing NO light skin tone,女人打手勢 沒有淺膚色
🙆‍♀️,:woman_gesturing_OK:,woman gesturing OK,女人打手勢好
🙆🏻‍♀️,:woman_gesturing_OK_light_skin_tone:,woman gesturing OK light skin tone,女人打手勢 OK 淺膚色
🙆🏼‍♀️,:woman_gesturing_OK_medium-light_skin_tone:,woman gesturing OK medium-light skin tone,女人做 OK 中等-淺膚色手勢
💇‍♀️,:woman_getting_haircut:,woman getting haircut,理髮的女人
💇🏻‍♀️,:woman_getting_haircut_light_skin_tone:,woman getting haircut light skin tone,正在理髮的女人淺膚色
💇🏼‍♀️,:woman_getting_haircut_medium-light_skin_tone:,woman getting haircut medium-light skin tone,正在理髮的女人中淺膚色
💆‍♀️,:woman_getting_massage:,woman getting massage,女人得到按摩
💆🏻‍♀️,:woman_getting_massage_light_skin_tone:,woman getting massage light skin tone,接受按摩的女人淺膚色
💆🏼‍♀️,:woman_getting_massage_medium-light_skin_tone:,woman getting massage medium-light skin tone,女人正在接受按摩中淺膚色
🧘🏻‍♀️,:woman_in_lotus_position_light_skin_tone:,woman in lotus position light skin tone,盤蓮花的女人淺膚色
🧘🏼‍♀️,:woman_in_lotus_position_medium-light_skin_tone:,woman in lotus position medium-light skin tone,盤蓮花女人中淺膚色
🧎‍♀️,:woman_kneeling:,woman kneeling,跪著的女人
🏋🏻‍♀️,:woman_lifting_weights_light_skin_tone:,woman lifting weights light skin tone,女人舉重淺膚色
👩🏻,:woman_light_skin_tone:,woman light skin tone,女人淺膚色
👱🏻‍♀️,:woman_light_skin_tone_blond_hair:,woman light skin tone blond hair,女人淺膚色金發
👩🏻‍🦰,:woman_light_skin_tone_red_hair:,woman light skin tone red hair,女人淺膚色紅頭髮
👩🏻‍🦳,:woman_light_skin_tone_white_hair:,woman light skin tone white hair,女人淺膚色白頭髮
👩🏼,:woman_medium-light_skin_tone:,woman medium-light skin tone,女人中淺膚色
👱🏼‍♀️,:woman_medium-light_skin_tone_blond_hair:,woman medium-light skin tone blond hair,女人中淺膚色金發
👩🏼‍🦱,:woman_medium-light_skin_tone_curly_hair:,woman medium-light skin tone curly hair,女人中淺膚色捲髮
👩🏼‍🦰,:woman_medium-light_skin_tone_red_hair:,woman medium-light skin tone red hair,女人中淺膚色紅頭髮
👩🏻‍✈️,:woman_pilot_light_skin_tone:,woman pilot light skin tone,女飛行員淺膚色
🙎‍♀️,:woman_pouting:,woman pouting,噘嘴的女人
🙋‍♀️,:woman_raising_hand:,woman raising hand,女人舉手
🙋🏻‍♀️,:woman_raising_hand_light_skin_tone:,woman raising hand light skin tone,舉手的女人淺膚色
👩‍🦰,:woman_red_hair:,woman red hair,紅頭髮的女人
🏃‍♀️,:woman_running:,woman running,女人跑
🏃🏻‍♀️,:woman_running_light_skin_tone:,woman running light skin tone,跑步的女人淺膚色
🤷‍♀️,:woman_shrugging:,woman shrugging,女人聳肩
🤷🏿‍♀️,:woman_shrugging_dark_skin_tone:,woman shrugging dark skin tone,深色膚色聳肩的女人
🤷🏻‍♀️,:woman_shrugging_light_skin_tone:,woman shrugging light skin tone,聳肩的女人淺膚色
🤷🏾‍♀️,:woman_shrugging_medium-dark_skin_tone:,woman shrugging medium-dark skin tone,聳肩的女人 中深膚色
🤷🏼‍♀️,:woman_shrugging_medium-light_skin_tone:,woman shrugging medium-light skin tone,聳肩的女人中淺膚色
🧍‍♀️,:woman_standing:,woman standing,站著的女人
👩🏻‍🎓,:woman_student_light_skin_tone:,woman student light skin tone,女學生淺膚色
🏄‍♀️,:woman_surfing:,woman surfing,女人衝浪
🏊‍♀️,:woman_swimming:,woman swimming,女子游泳
👩‍🏫,:woman_teacher:,woman teacher,女老師
💁‍♀️,:woman_tipping_hand:,woman tipping hand,女人傾斜的手
💁🏻‍♀️,:woman_tipping_hand_light_skin_tone:,woman tipping hand light skin tone,女人傾斜手較淺膚色
🚶‍♀️,:woman_walking:,woman walking,走路的女人
👰‍♀️,:woman_with_veil:,woman with veil,戴面紗的女人
👰🏻‍♀️,:woman_with_veil_light_skin_tone:,woman with veil light skin tone,面紗淺膚色的女人
🧟‍♀️,:woman_zombie:,woman zombie,女殭屍
👢,:woman’s_boot:,woman’s boot,女人的靴子
👚,:woman’s_clothes:,woman’s clothes,女人的衣服
👭,:women_holding_hands:,women holding hands,婦女手牽著手
👭🏻,:women_holding_hands_light_skin_tone:,women holding hands light skin tone,手拉手的女人淺膚色
👯‍♀️,:women_with_bunny_ears:,women with bunny ears,長著兔耳朵的女人
🚺,:women’s_room:,women’s room,女廁所
🪵,:wood:,wood,木頭
🥴,:woozy_face:,woozy face,昏昏沉沉的臉
🗺,:world_map:,world map,世界地圖
😟,:worried_face:,worried face,擔心的臉
🎁,:wrapped_gift:,wrapped gift,包裹的禮物
🔧,:wrench:,wrench,扳手
✍️,:writing_hand:,writing hand,手寫
✍🏻,:writing_hand_light_skin_tone:,writing hand light skin tone,書寫手淺膚色
🥱,:yawning_face:,yawning face,打哈欠的臉
💛,:yellow_heart:,yellow heart,黃心
🟨,:yellow_square:,yellow square,黃色方塊
🤪,:zany_face:,zany face,滑稽的臉
🦓,:zebra:,zebra,斑馬
🤐,:zipper-mouth_face:,zipper-mouth face,拉鍊嘴臉
